name,group,order,types,description
SDL_SetAudioStreamFormat,14,441,SDL_AudioStream SDL_AudioSpec bool,Change the input and output formats of an audio stream.
SDL_SetAudioStreamFrequencyRatio,14,443,SDL_AudioStream float bool,Change the frequency ratio of an audio stream.
SDL_SetAudioStreamGain,14,445,SDL_AudioStream float bool,Change the gain of an audio stream.
SDL_SetAudioStreamGetCallback,14,463,SDL_AudioStream SDL_AudioStreamCallback bool,Set a callback that runs when data is requested from an audio stream.
SDL_SetAudioStreamInputChannelMap,14,448,SDL_AudioStream int bool,Set the current input channel map of an audio stream.
SDL_SetAudioStreamOutputChannelMap,14,449,SDL_AudioStream int bool,Set the current output channel map of an audio stream.
SDL_SetAudioStreamPutCallback,14,464,SDL_AudioStream SDL_AudioStreamCallback bool,Set a callback that runs when data is added to an audio stream.
SDL_SetBooleanProperty,4,35,SDL_PropertiesID char bool,Set a boolean property in a group of properties.
SDL_SetClipboardData,32,866,SDL_ClipboardDataCallback SDL_ClipboardCleanupCallback char size_t bool,Offer clipboard data to the OS.
SDL_SetClipboardText,32,860,char bool,Put UTF-8 text into the clipboard.
SDL_SetCurrentThreadPriority,19,608,SDL_ThreadPriority bool,Set the priority for the current thread.
SDL_SetCursor,9,240,SDL_Cursor bool,Set the active cursor.
SDL_SetDefaultTextureScaleMode,17,589,SDL_Renderer SDL_ScaleMode bool,Set default scale mode for new textures for given renderer.
SDL_SetEnvironmentVariable,50,1122,SDL_Environment char bool,Set the value of a variable in the environment.
SDL_SetError,2,18,char bool,Set the SDL error message for the current thread.
SDL_SetErrorV,2,19,char va_list bool,Set the SDL error message for the current thread.
SDL_SetEventEnabled,7,194,Uint32 bool,Set the state of processing events by type.
SDL_SetEventFilter,7,189,SDL_EventFilter,Set up a filter to process all events before they are added to the internal event queue.
SDL_SetFloatProperty,4,34,SDL_PropertiesID char float bool,Set a floating point property in a group of properties.
SDL_SetGPUAllowedFramesInFlight,36,980,SDL_GPUDevice Uint32 bool,Configures the maximum allowed number of frames in flight.
