name,group,order,types,description
IMG_isBMP,0,14,SDL_IOStream bool,Detect BMP image data on a readable/seekable SDL_IOStream.
IMG_isCUR,0,13,SDL_IOStream bool,Detect CUR image data on a readable/seekable SDL_IOStream.
IMG_isGIF,0,15,SDL_IOStream bool,Detect GIF image data on a readable/seekable SDL_IOStream.
IMG_isICO,0,16,SDL_IOStream bool,Detect ICO image data on a readable/seekable SDL_IOStream.
IMG_isJPG,0,17,SDL_IOStream bool,Detect JPG image data on a readable/seekable SDL_IOStream.
IMG_isJXL,0,18,SDL_IOStream bool,Detect JXL image data on a readable/seekable SDL_IOStream.
IMG_isLBM,0,19,SDL_IOStream bool,Detect LBM image data on a readable/seekable SDL_IOStream.
IMG_isPCX,0,20,SDL_IOStream bool,Detect PCX image data on a readable/seekable SDL_IOStream.
IMG_isPNG,0,21,SDL_IOStream bool,Detect PNG image data on a readable/seekable SDL_IOStream.
IMG_isPNM,0,22,SDL_IOStream bool,Detect PNM image data on a readable/seekable SDL_IOStream.
IMG_isQOI,0,23,SDL_IOStream bool,Detect QOI image data on a readable/seekable SDL_IOStream.
IMG_isSVG,0,24,SDL_IOStream bool,Detect SVG image data on a readable/seekable SDL_IOStream.
IMG_isTIF,0,25,SDL_IOStream bool,Detect TIFF image data on a readable/seekable SDL_IOStream.
IMG_isWEBP,0,26,SDL_IOStream bool,Detect WEBP image data on a readable/seekable SDL_IOStream.
IMG_isXCF,0,27,SDL_IOStream bool,Detect XCF image data on a readable/seekable SDL_IOStream.
IMG_isXPM,0,28,SDL_IOStream bool,Detect XPM image data on a readable/seekable SDL_IOStream.
IMG_isXV,0,29,SDL_IOStream bool,Detect XV image data on a readable/seekable SDL_IOStream.
