name,group,order,types,description
TTF_RenderText_LCD_Wrapped,0,68,TTF_Font char size_t SDL_Color int SDL_Surface,Render word-wrapped UTF-8 text at LCD subpixel quality to a new ARGB surface.
TTF_RenderText_Shaded,0,61,TTF_Font char size_t SDL_Color SDL_Surface,Render UTF-8 text at high quality to a new 8-bit surface.
TTF_RenderText_Shaded_Wrapped,0,62,TTF_Font char size_t SDL_Color int SDL_Surface,Render word-wrapped UTF-8 text at high quality to a new 8-bit surface.
TTF_RenderText_Solid,0,58,TTF_Font char size_t SDL_Color SDL_Surface,Render UTF-8 text at fast quality to a new 8-bit surface.
TTF_RenderText_Solid_Wrapped,0,59,TTF_Font char size_t SDL_Color int SDL_Surface,Render word-wrapped UTF-8 text at fast quality to a new 8-bit surface.
TTF_SetFontCharSpacing,0,42,TTF_Font int bool,Set additional space in pixels to be applied between any two rendered characters.
TTF_SetFontDirection,0,40,TTF_Font TTF_Direction bool,Set the direction to be used for text shaping by a font.
TTF_SetFontHinting,0,21,TTF_Font TTF_HintingFlags,Set a font's current hinter setting.
TTF_SetFontKerning,0,34,TTF_Font bool,Set if kerning is enabled for a font.
TTF_SetFontLanguage,0,49,TTF_Font char bool,Set language to be used for text shaping by a font.
TTF_SetFontLineSkip,0,32,TTF_Font int,Set the spacing between lines of text for a font.
TTF_SetFontOutline,0,19,TTF_Font int bool,Set a font's current outline.
TTF_SetFontSDF,0,24,TTF_Font bool,Enable Signed Distance Field rendering for a font.
TTF_SetFontScript,0,46,TTF_Font Uint32 bool,Set the script to be used for text shaping by a font.
TTF_SetFontSize,0,13,TTF_Font float bool,Set a font's size dynamically.
TTF_SetFontSizeDPI,0,14,TTF_Font float int bool,"Set font size dynamically with target resolutions, in dots per inch."
TTF_SetFontStyle,0,17,TTF_Font TTF_FontStyleFlags,Set a font's current style.
TTF_SetFontWrapAlignment,0,27,TTF_Font TTF_HorizontalAlignment,Set a font's current wrap alignment option.
